Ár ;Vísitala;Kaupverð á fermeter;Fjöldi;
1993;100;80.568 kr.;108;
1994;99;79.709 kr.;188;
1995;96;77.029 kr.;288;
1996;101;81.536 kr.;325;
1997;103;82.811 kr.;411;
1998;105;84.761 kr.;344;
1999;112;90.223 kr.;508;
2000;135;108.585 kr.;542;
2001;145;117.013 kr.;588;
2002;153;123.545 kr.;717;
2003;163;131.308 kr.;934;
2004;180;144.823 kr.;1491;
2005;222;178.935 kr.;1488;
2006;265;213.526 kr.;978;
2007;299;240.959 kr.;1861;
2008;296;238.652 kr.;522;
2009;282;227.384 kr.;201;
2010;281;226.015 kr.;169;
2011;347;279.613 kr.;103;
2012;343;276.390 kr.;212;
2013;360;290.414 kr.;294;
2014;413;332.755 kr.;355;
