Ár ,Vísitala,Kaupverð á fermeter,Fjöldi 
1993,100,"61,971 kr.",24
1994,103,"63,816 kr.",23
1995,103,"63,725 kr.",65
1996,102,"63,352 kr.",53
1997,106,"65,585 kr.",47
1998,113,"69,832 kr.",55
1999,127,"78,871 kr.",94
2000,146,"90,702 kr.",86
2001,152,"94,022 kr.",102
2002,163,"101,086 kr.",86
2003,179,"110,979 kr.",106
2004,207,"128,376 kr.",159
2005,261,"161,894 kr.",213
2006,300,"185,971 kr.",149
2007,309,"191,354 kr.",233
2008,309,"191,546 kr.",82
2009,318,"197,333 kr.",38
2010,322,"199,412 kr.",22
2011,365,"226,249 kr.",23
2012,376,"232,792 kr.",16
2013,401,"248,495 kr.",22
