
BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
1996-12-10,28,23,18,22,19,17,100,87,65,1019,1017,1012,8,6,4,19,10,,0.00,4,,137<br />
1996-12-11,26,22,18,23,19,18,100,95,74,1017,1014,1010,7,4,1,19,11,,0.00,6,Rain-Thunderstorm,156<br />
1996-12-12,26,22,19,22,21,19,100,95,74,1014,1012,1010,10,5,1,19,5,,0.00,6,Rain-Thunderstorm,323<br />
1996-12-13,28,22,17,24,21,12,100,92,42,1016,1012,1010,10,6,1,27,8,,0.00,6,Rain-Thunderstorm,320<br />
1996-12-14,24,21,19,21,19,18,100,95,78,1019,1017,1015,10,6,4,21,8,,0.00,5,Rain,160<br />
1996-12-15,27,22,18,22,19,17,100,90,65,1019,1017,1017,10,6,3,19,10,,0.00,5,Rain-Thunderstorm,118<br />
1996-12-16,29,23,18,22,20,18,100,91,58,1018,1014,1012,10,5,1,27,11,,0.00,5,Rain-Thunderstorm,99<br />
1996-12-17,26,23,20,22,20,18,100,88,74,1016,1014,1012,10,8,5,29,6,,0.00,6,Rain-Thunderstorm,339<br />
1996-12-18,24,21,19,21,19,19,100,93,78,1019,1017,1015,10,8,2,19,11,,0.00,6,Rain,203<br />
1996-12-19,31,24,19,21,21,19,100,79,55,1018,1015,1011,10,6,3,19,6,,0.00,5,,54<br />
1996-12-20,31,26,22,22,21,20,94,78,58,1015,1013,1010,10,9,6,29,13,,0.00,6,Rain,352<br />
1996-12-21,31,26,21,23,21,20,100,88,58,1018,1014,1011,10,7,1,23,10,,0.00,6,Rain-Thunderstorm,321<br />
1996-12-22,27,23,19,23,21,19,100,93,69,1017,1014,1011,10,6,1,34,6,,0.00,6,Rain-Thunderstorm,338<br />
1996-12-23,27,22,20,23,21,20,100,92,79,1014,1012,1011,10,9,8,23,6,,0.00,6,,341<br />
1996-12-24,28,24,21,23,21,20,94,88,62,1015,1014,1012,10,7,4,19,6,,0.00,6,,357<br />
1996-12-25,29,24,20,24,21,20,100,89,66,1016,1014,1013,8,6,2,23,5,,0.00,3,,130<br />
1996-12-26,32,26,20,22,21,17,100,81,40,1015,1013,1010,10,7,4,14,5,,0.00,2,,109<br />
1996-12-27,33,28,23,22,21,20,89,74,46,1013,1012,1009,10,8,6,19,5,,0.00,3,,327<br />
1996-12-28,27,24,22,23,22,22,100,92,79,1012,1011,1008,10,7,4,23,10,,0.00,6,Rain,353<br />
1996-12-29,24,22,20,23,22,20,100,96,88,1012,1011,1009,10,7,3,19,8,,0.00,7,Rain-Thunderstorm,343<br />
