Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,31.70,31.90,31.70,31.80,1720800,31.80
2015-11-30,32.00,32.00,31.95,31.95,10350800,31.95
2015-11-27,32.40,32.40,32.00,32.00,1211000,32.00
2015-11-26,31.95,32.30,31.90,32.00,17348300,32.00
2015-11-25,31.85,31.85,31.00,31.60,78998300,31.60
2015-11-24,33.20,33.20,31.95,31.95,65155900,31.95
2015-11-23,33.10,33.70,33.10,33.30,27657500,33.30
2015-11-20,32.55,32.85,32.55,32.85,2299700,32.85
2015-11-19,33.15,33.15,32.55,32.65,13981000,32.65
2015-11-18,32.95,33.20,32.80,33.00,18514500,33.00
2015-11-17,33.40,33.40,32.75,33.15,19977200,33.15
2015-11-16,33.80,33.80,33.45,33.60,5621500,33.60
2015-11-13,33.50,34.60,33.50,34.20,38412500,34.20
2015-11-12,33.70,33.70,33.10,33.45,18918000,33.45
2015-11-11,34.25,34.50,33.45,33.45,28816600,33.45
2015-11-10,34.25,34.55,34.25,34.55,3871400,34.55
2015-11-09,34.60,34.60,34.40,34.50,6107000,34.50
2015-11-06,34.70,34.75,34.00,34.50,25629400,34.50
2015-11-05,34.80,34.80,34.25,34.65,32815500,34.65
2015-11-04,33.70,34.80,33.50,34.65,40141800,34.65
2015-11-03,34.65,34.65,33.85,34.10,20008400,34.10
2015-11-02,34.50,34.55,34.20,34.20,11190100,34.20
2015-10-30,34.60,34.60,34.25,34.50,23231900,34.50
2015-10-29,34.40,34.50,34.25,34.25,16486900,34.25
2015-10-28,33.95,34.40,33.95,34.05,11405600,34.05
2015-10-27,33.55,33.80,33.45,33.70,18875600,33.70
2015-10-26,32.70,33.90,32.70,33.55,52351400,33.55
2015-10-23,32.20,32.45,32.10,32.375,15001900,32.375
2015-10-22,32.00,32.30,32.00,32.15,12208100,32.15
2015-10-21,32.25,32.25,32.00,32.00,4623400,32.00
2015-10-20,32.35,32.35,31.90,32.25,10454200,32.25
2015-10-19,32.10,32.10,32.00,32.00,11128700,32.00
2015-10-16,32.05,32.10,31.90,32.10,14471600,32.10
2015-10-15,32.00,32.00,31.90,31.90,163200,31.90
2015-10-14,31.70,32.05,31.70,31.95,22020200,31.95
2015-10-13,31.55,31.70,31.40,31.70,13549700,31.70
2015-10-12,31.30,31.45,31.30,31.40,3730300,31.40
2015-10-09,31.40,31.60,31.25,31.45,12102300,31.45
2015-10-08,31.40,31.40,31.20,31.25,3719600,31.25
2015-10-07,31.45,31.45,31.00,31.35,31701300,31.35
2015-10-06,31.05,31.10,30.85,30.85,2431100,30.85
2015-10-05,30.65,31.05,30.65,31.00,1621400,31.00
2015-10-02,30.15,31.10,30.05,30.70,42173000,30.70
2015-10-01,30.10,30.35,30.00,30.35,7162100,30.35
2015-09-30,30.10,30.20,30.00,30.00,2704200,30.00
2015-09-29,30.00,30.15,29.95,30.05,2920300,30.05
2015-09-28,30.20,30.20,30.10,30.10,10613600,30.10
2015-09-25,30.05,30.10,30.00,30.10,6926200,30.10
2015-09-24,30.00,30.10,30.00,30.00,14495700,30.00
2015-09-23,29.75,30.00,29.70,30.00,19466600,30.00
2015-09-22,29.65,29.70,29.40,29.60,17012000,29.60
2015-09-21,29.60,29.80,29.60,29.70,8010200,29.70
2015-09-18,29.70,29.80,29.60,29.65,4387300,29.65
2015-09-17,29.60,29.80,29.60,29.80,3523500,29.80
2015-09-16,29.65,29.75,29.50,29.75,16736600,29.75
2015-09-15,29.75,29.75,29.50,29.50,722600,29.50
2015-09-14,29.75,29.75,29.55,29.70,11757000,29.70
2015-09-11,29.80,29.80,29.55,29.80,1794200,29.80
2015-09-10,29.80,29.80,29.60,29.80,486700,29.80
2015-09-09,29.60,29.90,29.50,29.65,17646600,29.65
2015-09-08,29.00,29.90,29.00,29.70,33641700,29.70
2015-09-07,28.85,29.05,28.85,28.95,23235100,28.95
2015-09-04,28.20,28.55,28.20,28.50,8282600,28.50
2015-09-03,28.10,28.20,28.10,28.10,1364900,28.10
2015-09-02,28.15,28.20,27.85,27.90,513900,27.90
2015-09-01,27.65,28.15,27.65,28.10,20142500,28.10
2015-08-31,28.40,28.40,27.95,27.95,22996800,27.95
2015-08-28,28.25,28.25,28.05,28.20,5938900,28.20
2015-08-27,28.15,28.40,28.10,28.25,12457900,28.25
2015-08-26,27.80,27.80,27.55,27.75,16035800,27.75
2015-08-25,27.40,27.80,27.40,27.80,26510000,27.80
2015-08-24,27.75,27.75,26.55,27.15,49389300,27.15
2015-08-21,28.10,28.10,27.80,27.85,12554500,27.85
2015-08-20,27.35,28.05,27.35,28.00,38770400,28.00
2015-08-19,26.85,27.25,26.65,27.25,10413000,27.25
2015-08-18,26.85,26.85,26.65,26.65,6744500,26.65
2015-08-17,26.75,26.85,26.65,26.85,22379000,26.85
2015-08-14,26.75,26.75,26.65,26.75,676900,26.75
2015-08-13,26.45,26.75,26.30,26.45,25013600,26.45
2015-08-12,26.00,26.30,25.95,26.25,29903800,26.25
2015-08-11,26.40,26.45,26.25,26.25,4369600,26.25
2015-08-10,26.25,26.45,26.20,26.40,1210800,26.40
2015-08-07,26.40,26.50,26.20,26.20,8429400,26.20
2015-08-06,26.40,26.40,26.20,26.20,3872500,26.20
2015-08-05,26.30,26.40,26.30,26.30,3357700,26.30
2015-08-04,26.15,26.35,26.05,26.25,11502000,26.25
2015-08-03,26.20,26.20,26.20,26.20,000,26.20
2015-07-31,26.25,26.40,26.05,26.20,8722000,26.20
2015-07-30,26.50,26.50,26.35,26.45,4379500,26.45
2015-07-29,26.05,26.40,26.05,26.25,22138700,26.25
2015-07-28,25.90,25.90,25.70,25.85,11416000,25.85
2015-07-27,25.30,25.35,25.25,25.30,2173900,25.30
2015-07-24,25.15,25.25,25.10,25.20,27336000,25.20
2015-07-23,25.25,25.25,25.10,25.20,1229200,25.20
2015-07-22,25.10,25.25,25.10,25.25,132700,25.25
2015-07-21,25.10,25.10,25.00,25.10,2096000,25.10
2015-07-20,25.10,25.10,24.95,25.05,12905000,25.05
2015-07-17,25.30,25.40,25.15,25.15,2282400,25.15
2015-07-16,25.30,25.30,25.20,25.20,10275600,25.20
2015-07-15,25.15,25.30,25.15,25.20,3230700,25.20
2015-07-14,25.30,25.30,25.15,25.15,1700000,25.15
2015-07-13,25.30,25.40,25.15,25.30,111600,25.30
2015-07-10,25.40,25.40,25.20,25.30,704600,25.30
2015-07-09,25.30,25.30,25.15,25.30,14400500,25.30
2015-07-08,25.15,25.15,25.10,25.10,5580000,25.10
2015-07-07,25.30,25.30,25.00,25.15,22511200,25.15
2015-07-06,24.80,24.80,24.80,24.80,000,24.80
2015-07-03,24.75,24.90,24.70,24.80,9048500,24.80
2015-07-02,25.00,25.05,24.80,24.95,14261600,24.95
2015-07-01,24.95,25.00,24.90,25.00,7677400,25.00
2015-06-30,24.75,25.05,24.75,24.95,28066500,24.95
2015-06-29,24.80,24.85,24.70,24.70,4121000,24.70
2015-06-26,24.65,24.85,24.50,24.75,11400900,24.75
2015-06-25,24.55,24.65,24.55,24.65,4098200,24.65
2015-06-24,24.50,24.60,24.45,24.55,6786400,24.55
2015-06-23,24.35,24.55,24.35,24.50,3887000,24.50
2015-06-22,24.35,24.35,24.35,24.35,2560000,24.35
2015-06-19,24.50,24.50,24.35,24.45,2468300,24.45
2015-06-18,24.45,24.45,24.45,24.45,11006100,24.45
2015-06-17,24.40,24.40,24.40,24.40,000,24.40
2015-06-16,24.45,24.45,24.30,24.40,14880000,24.40
2015-06-15,24.30,24.75,24.20,24.55,7252800,24.55
2015-06-12,24.40,24.45,24.25,24.35,5240000,24.35
2015-06-11,24.30,24.45,24.25,24.30,10580600,24.30
2015-06-10,24.20,24.45,24.15,24.30,23003100,24.30
2015-06-09,24.65,24.80,24.60,24.60,22557700,24.60
2015-06-08,24.20,24.55,24.10,24.55,30576200,24.55
2015-06-05,24.00,24.20,23.95,24.10,8543000,24.10
2015-06-04,24.05,24.30,24.05,24.05,22156600,24.05
2015-06-03,24.00,24.35,24.00,24.05,74091600,24.05
2015-06-02,23.55,23.85,23.55,23.85,7832100,23.85
2015-06-01,23.60,23.80,23.55,23.55,1295300,23.55
2015-05-29,23.90,23.90,23.55,23.55,22650800,23.55
2015-05-28,23.80,23.85,23.75,23.75,9118600,23.75
2015-05-27,23.30,23.80,23.30,23.80,27092200,23.80
2015-05-26,22.70,23.10,22.70,23.00,32222600,23.00
2015-05-25,22.60,22.60,22.60,22.60,000,22.60
2015-05-22,22.80,22.80,22.55,22.60,10083500,22.60
2015-05-21,22.80,23.00,22.80,22.80,14401300,22.80
2015-05-20,23.00,23.00,22.80,22.80,12870500,22.80
2015-05-19,22.40,23.20,22.40,23.05,31184100,23.05
2015-05-18,22.55,22.55,22.40,22.40,5952100,22.40
2015-05-15,22.15,22.60,22.15,22.50,24503500,22.50
2015-05-14,22.40,22.40,22.40,22.40,000,22.40
2015-05-13,22.40,22.40,22.30,22.40,1023000,22.40
2015-05-12,21.95,22.25,21.95,22.25,11127400,22.25
2015-05-11,21.50,21.90,21.50,21.90,21713300,21.90
2015-05-08,21.50,21.75,21.50,21.50,4343300,21.50
2015-05-07,21.70,21.70,21.70,21.70,000,21.70
2015-05-06,21.75,21.75,21.45,21.70,7735000,21.70
2015-05-05,21.70,21.70,21.65,21.65,10631000,21.65
2015-05-04,21.55,21.70,21.55,21.70,2341300,21.70
2015-05-01,21.625,21.625,21.625,21.625,000,21.625
2015-04-30,21.50,21.75,21.40,21.625,38163800,21.625
2015-04-29,21.20,21.45,21.20,21.35,12618600,21.35
2015-04-28,21.20,21.40,21.20,21.25,3382800,21.25
2015-04-27,21.50,21.50,21.325,21.325,3393200,21.325
2015-04-24,21.45,21.90,21.30,21.40,33701100,21.40
2015-04-23,21.30,21.30,21.30,21.30,000,21.30
2015-04-22,21.10,21.30,21.10,21.30,5411900,21.30
2015-04-21,21.15,21.30,21.15,21.21,5989500,21.21
2015-04-20,21.20,21.30,21.05,21.30,19982800,21.30
2015-04-17,21.15,21.20,20.90,21.20,22488900,21.20
2015-04-16,21.45,21.45,21.35,21.35,2053300,21.35
2015-04-15,21.30,21.40,21.15,21.40,2909700,21.40
2015-04-14,21.20,21.20,21.20,21.20,4942400,21.20
2015-04-13,21.35,21.45,21.25,21.25,15408000,21.25
2015-04-10,21.30,21.45,21.30,21.35,1020700,21.35
2015-04-09,21.45,21.45,21.20,21.325,1952500,21.325
2015-04-08,21.35,21.60,21.30,21.45,17345800,21.45
2015-04-07,21.00,21.15,20.95,21.00,1063500,21.00
2015-04-06,21.00,21.00,21.00,21.00,000,21.00
2015-04-03,21.00,21.00,21.00,21.00,000,21.00
2015-04-02,21.00,21.00,21.00,21.00,000,21.00
2015-04-01,21.10,21.10,20.95,21.00,13425000,21.00
2015-03-31,21.00,21.20,21.00,21.10,2243000,21.10
2015-03-30,20.95,21.15,20.90,20.95,3738900,20.95
2015-03-27,20.90,21.15,20.90,21.00,7848500,21.00
2015-03-26,21.15,21.15,21.05,21.05,2825000,21.05
2015-03-25,21.40,21.50,21.15,21.15,15836000,21.15
2015-03-24,21.50,21.60,21.40,21.50,4907300,21.50
2015-03-23,21.60,21.60,21.40,21.40,9605000,21.40
2015-03-20,21.60,21.60,21.60,21.60,4500000,21.60
2015-03-19,21.70,21.70,21.60,21.70,13207400,21.70
