"Ár";"Starfsstétt";"Kyn";"Regluleg laun - alls Meðaltal";"Regluleg laun - hlutastarfsfólk Meðaltal";"Regluleg laun - fullvinnandi Meðaltal";"Regluleg heildarlaun - fullvinnandi Meðaltal";"Heildarlaun - fullvinnandi Meðaltal";"Greiddar stundir - fullvinnandi Meðaltal"
"1998";"Alls";"Alls";135;104;150;179;192;46.4
"1999";"Alls";"Alls";148;112;163;192;207;46.1
"2000";"Alls";"Alls";165;126;183;210;226;45.3
"2001";"Alls";"Alls";184;140;202;230;248;44.8
"2002";"Alls";"Alls";196;149;216;240;262;44.2
"2003";"Alls";"Alls";210;159;230;257;280;44.6
"2004";"Alls";"Alls";220;165;242;272;300;44.9
"2005";"Alls";"Alls";248;184;272;305;345;44.9
"2006";"Alls";"Alls";272;201;297;333;383;45.0
"2007";"Alls";"Alls";303;223;330;368;423;44.8
"2008";"Alls";"Alls";324;236;355;393;454;44.7
"2009";"Alls";"Alls";334;250;366;391;423;43.1
"2010";"Alls";"Alls";348;260;381;409;438;43.2
"2011";"Alls";"Alls";365;269;400;431;469;43.4
"2012";"Alls";"Alls";390;292;423;474;510;43.2
"2013";"Alls";"Alls";428;311;466;516;555;43.0
"2014";"Alls";"Alls";441;325;483;535;580;42.8
