"Ár";"Mannfjöldi 1. janúar";"Árleg fjölgun";"Fjölgun";"Aðfluttir umfram brottflutta";"Fæddir umfram dána";"Leiðréttingarþáttur"
"1735";43678;0.44;194;..;194;..
"1736";43872;1.11;488;..;488;..
"1737";44360;0.77;343;..;343;..
"1738";44703;1.13;505;..;505;..
"1739";45208;-0.41;-186;..;-186;..
"1740";45022;-0.32;-144;..;-144;..
"1741";44878;1.12;504;..;504;..
"1742";45382;-0.72;-328;..;-328;..
"1743";45054;0.97;436;..;436;..
"1744";45490;0.96;436;..;436;..
"1745";45926;1.11;509;..;509;..
"1746";46435;0.93;431;..;431;..
"1747";46866;0.41;192;..;192;..
"1748";47058;1.31;618;..;618;..
"1749";47676;1.19;565;..;565;..
"1750";48241;1.06;513;..;513;..
"1751";48754;0.75;367;..;367;..
"1752";49121;-0.59;-291;..;-291;..
"1753";48830;-0.16;-78;..;-78;..
"1754";48752;0.09;46;..;46;..
"1755";48798;-0.36;-178;..;-178;..
"1756";48620;-2.09;-1018;..;-1018;..
"1757";47602;-7.13;-3392;..;-3392;..
"1758";44210;-1.99;-881;..;-881;..
"1759";43329;0.89;387;..;387;..
"1760";43716;1.15;503;..;503;..
"1761";44219;1.40;620;..;620;..
"1762";44839;0.10;47;..;47;..
"1763";44886;-0.04;-20;..;-20;..
"1764";44866;1.81;810;..;810;..
"1765";45676;1.63;744;..;744;..
"1766";46420;0.61;282;..;282;..
"1767";46702;-0.47;-221;..;-221;..
"1768";46481;0.66;307;..;307;..
"1769";46788;1.22;573;..;573;..
"1770";47361;1.05;496;..;496;..
"1771";47857;0.73;350;..;350;..
"1772";48207;0.86;416;..;416;..
"1773";48623;0.71;345;..;345;..
"1774";48968;0.54;266;..;266;..
"1775";49234;0.70;343;..;343;..
"1776";49577;0.71;354;..;354;..
"1777";49931;0.98;490;..;490;..
"1778";50421;0.68;343;..;343;..
"1779";50764;-0.26;-134;..;-134;..
"1780";50630;-0.62;-312;..;-312;..
"1781";50318;-1.41;-707;..;-707;..
"1782";49611;0.00;-2;..;-2;..
"1783";49609;0.29;144;..;144;..
"1784";49753;-8.69;-4325;..;-4325;..
"1785";45428;-11.11;-5047;..;-5047;..
"1786";40381;-2.95;-1191;..;-1191;..
"1787";39190;0.77;300;..;300;..
"1788";39490;0.50;199;..;199;..
"1789";39689;0.91;362;..;362;..
"1790";40051;1.54;616;..;616;..
"1791";40667;0.64;259;..;259;..
"1792";40926;0.47;191;..;191;..
"1793";41117;1.34;549;..;549;..
"1794";41666;1.87;780;..;780;..
"1795";42446;2.32;984;..;984;..
"1796";43430;2.02;878;..;878;..
"1797";44308;1.60;708;..;708;..
