Ár,spá
2016,329100
2017,332491
2018,335807
2019,339086
2020,342590
2021,346213
2022,349786
2023,353287
2024,356700
2025,360033
2026,363270
2027,366390
2028,369411
2029,372309
2030,375077
2031,377699
2032,380241
2033,382687
2034,385044
2035,387314
2036,389523
2037,391655
2038,393731
2039,395751
2040,397714
2041,399633
2042,401506
2043,403339
2044,405129
2045,406879
2046,408601
2047,410290
2048,411951
2049,413575
2050,415169
2051,416740
2052,418296
2053,419822
2054,421320
2055,422797
2056,424260
2057,425693
2058,427107
2059,428487
2060,429838
2061,431155
2062,432447
2063,434945
2064,436152
2065,437336
2066,438492
