Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,252.00,253.00,251.00,253.00,605800,253.00
2015-11-30,253.50,254.50,253.50,254.00,1758600,254.00
2015-11-27,253.50,253.50,253.50,253.50,17200,253.50
2015-11-26,255.50,255.50,253.00,253.00,812000,253.00
2015-11-25,256.00,258.00,254.50,256.00,1956100,256.00
2015-11-24,258.00,262.00,256.50,256.50,3267600,256.50
2015-11-23,242.00,250.50,242.00,250.50,6938600,250.50
2015-11-20,225.00,225.00,224.50,224.50,17700,224.50
2015-11-19,225.50,226.00,224.50,224.50,643000,224.50
2015-11-18,223.50,224.00,223.50,223.50,205200,223.50
2015-11-17,226.50,226.50,222.50,224.50,2038800,224.50
2015-11-16,227.50,228.00,226.50,226.50,138500,226.50
2015-11-13,225.50,228.50,225.50,227.50,1450100,227.50
2015-11-12,224.00,226.00,223.00,225.00,442300,225.00
2015-11-11,226.00,226.00,225.00,225.00,400000,225.00
2015-11-10,227.50,227.50,225.50,226.00,523700,226.00
2015-11-09,227.00,228.00,226.50,227.50,248200,227.50
2015-11-06,226.00,228.50,224.50,228.50,515000,228.50
2015-11-05,227.00,230.00,227.00,228.00,3312200,228.00
2015-11-04,227.00,228.50,225.00,226.00,1722400,226.00
2015-11-03,227.00,227.50,226.50,227.50,593300,227.50
2015-11-02,229.50,229.50,228.00,228.00,257800,228.00
2015-10-30,229.50,230.00,228.50,228.50,1287900,228.50
2015-10-29,228.00,229.50,227.50,229.00,1330800,229.00
2015-10-28,227.00,228.50,223.50,223.50,3456900,223.50
2015-10-27,224.50,227.00,224.50,226.00,1219000,226.00
2015-10-26,219.75,224.00,219.75,223.50,2923400,223.50
2015-10-23,216.00,218.50,216.00,218.50,768000,218.50
2015-10-22,216.50,216.50,216.50,216.50,5400,216.50
2015-10-21,217.00,218.00,216.50,216.50,471800,216.50
2015-10-20,217.00,217.00,216.00,216.00,65700,216.00
2015-10-19,215.00,217.00,214.00,217.00,706500,217.00
2015-10-16,217.00,217.00,215.00,215.00,448700,215.00
2015-10-15,215.00,217.00,215.00,216.50,161700,216.50
2015-10-14,215.00,216.50,215.00,215.00,679500,215.00
2015-10-13,216.00,216.00,215.50,215.50,501400,215.50
2015-10-12,215.00,216.00,215.00,215.50,809500,215.50
2015-10-09,215.00,215.00,215.00,215.00,6300,215.00
2015-10-08,214.50,217.00,214.50,215.00,552600,215.00
2015-10-07,215.00,217.00,215.00,216.00,106700,216.00
2015-10-06,216.00,218.00,216.00,216.00,406100,216.00
2015-10-05,217.00,217.00,217.00,217.00,4300,217.00
2015-10-02,214.00,216.50,212.00,216.00,1995700,216.00
2015-10-01,212.00,213.50,212.00,213.50,632400,213.50
2015-09-30,210.50,212.50,210.50,211.00,925100,211.00
2015-09-29,211.00,212.50,210.00,212.50,1184100,212.50
2015-09-28,210.00,212.50,209.50,212.50,1307000,212.50
2015-09-25,209.00,210.00,209.00,210.00,2059800,210.00
2015-09-24,205.00,208.50,205.00,207.50,1874200,207.50
2015-09-23,204.00,205.50,204.00,204.00,1530100,204.00
2015-09-22,204.00,204.00,202.00,203.50,872800,203.50
2015-09-21,205.00,205.00,205.00,205.00,000,205.00
2015-09-18,204.50,205.00,204.00,205.00,569000,205.00
2015-09-17,204.00,206.00,204.00,205.50,48800,205.50
2015-09-16,204.50,206.50,204.00,206.50,427400,206.50
2015-09-15,205.00,206.50,205.00,205.00,264300,205.00
2015-09-14,206.00,206.00,204.50,204.50,1356900,204.50
2015-09-11,206.00,207.00,205.50,205.50,540300,205.50
2015-09-10,204.00,206.50,204.00,206.50,3325600,206.50
2015-09-09,199.00,205.00,199.00,204.50,2747800,204.50
2015-09-08,195.50,199.00,195.50,198.00,8956900,198.00
2015-09-07,195.00,195.50,195.00,195.50,48100,195.50
2015-09-04,193.00,194.50,193.00,194.50,11200,194.50
2015-09-03,191.50,194.50,191.50,192.50,221800,192.50
2015-09-02,193.00,193.00,192.00,192.00,842600,192.00
2015-09-01,191.50,191.50,190.50,191.00,756700,191.00
2015-08-31,195.00,195.00,195.00,195.00,000,195.00
2015-08-28,195.00,195.00,193.50,195.00,587200,195.00
2015-08-27,194.00,195.50,193.00,193.00,2086100,193.00
2015-08-26,191.00,192.25,190.00,190.00,919600,190.00
2015-08-25,193.00,195.00,192.50,192.50,1144100,192.50
2015-08-24,201.00,201.00,190.00,195.00,2992700,195.00
2015-08-21,202.00,204.00,202.00,202.00,194800,202.00
2015-08-20,203.00,204.50,202.00,203.00,12692000,203.00
2015-08-19,199.00,201.00,199.00,200.00,658800,200.00
2015-08-18,200.50,200.50,199.00,199.00,593200,199.00
2015-08-17,198.50,199.50,198.50,199.50,600800,199.50
2015-08-14,198.00,200.50,198.00,200.50,11000,200.50
2015-08-13,199.00,202.50,199.00,199.00,2211300,199.00
2015-08-12,198.00,199.00,196.00,199.00,1639000,199.00
2015-08-11,196.00,196.00,196.00,196.00,000,196.00
2015-08-10,198.00,198.00,196.00,196.00,157400,196.00
2015-08-07,199.00,199.00,197.00,197.00,261700,197.00
2015-08-06,199.50,199.50,197.50,199.00,325000,199.00
2015-08-05,200.00,200.00,198.50,199.50,161500,199.50
2015-08-04,200.00,200.00,198.00,198.00,1287000,198.00
2015-08-03,202.00,202.00,202.00,202.00,000,202.00
2015-07-31,202.00,202.00,200.00,202.00,1654000,202.00
2015-07-30,206.50,208.50,201.50,203.50,2965700,203.50
2015-07-29,196.50,199.50,196.50,199.50,1188800,199.50
2015-07-28,196.00,197.00,194.50,197.00,1707000,197.00
2015-07-27,195.50,195.50,194.75,194.75,501500,194.75
2015-07-24,192.00,194.00,192.00,194.00,1390000,194.00
2015-07-23,190.50,191.50,190.50,191.50,305200,191.50
2015-07-22,193.00,193.00,190.00,190.00,495000,190.00
2015-07-21,191.50,191.75,191.00,191.75,681300,191.75
2015-07-20,191.50,191.50,190.00,190.00,613100,190.00
2015-07-17,191.50,191.50,189.00,189.00,212000,189.00
2015-07-16,189.75,190.25,189.75,190.25,1620000,190.25
2015-07-15,191.00,192.50,190.50,192.50,347200,192.50
2015-07-14,190.00,191.00,190.00,191.00,203000,191.00
2015-07-13,190.00,192.00,190.00,190.00,28300,190.00
2015-07-10,190.00,192.50,190.00,190.00,1761000,190.00
2015-07-09,190.00,190.00,188.50,190.00,929800,190.00
2015-07-08,189.00,189.00,188.00,188.00,2267700,188.00
2015-07-07,189.00,189.50,189.00,189.00,377200,189.00
2015-07-06,189.50,189.50,189.00,189.50,603500,189.50
2015-07-03,189.50,189.50,189.50,189.50,400000,189.50
2015-07-02,188.25,188.25,188.00,188.00,276500,188.00
2015-07-01,187.00,189.50,187.00,188.00,1992500,188.00
2015-06-30,184.50,186.00,184.50,186.00,773000,186.00
2015-06-29,185.00,185.00,183.25,184.00,551000,184.00
2015-06-26,186.00,186.00,182.50,183.75,762300,183.75
2015-06-25,185.50,187.00,185.50,185.50,620000,185.50
2015-06-24,185.50,187.00,185.50,186.50,132000,186.50
2015-06-23,187.00,187.25,186.00,186.00,810600,186.00
2015-06-22,187.00,187.00,187.00,187.00,000,187.00
2015-06-19,187.00,188.00,186.50,187.00,912400,187.00
2015-06-18,187.00,187.00,187.00,187.00,3200,187.00
2015-06-17,187.00,187.00,187.00,187.00,000,187.00
2015-06-16,187.00,187.00,187.00,187.00,34800,187.00
2015-06-15,188.00,188.00,188.00,188.00,155200,188.00
2015-06-12,189.00,189.00,186.50,188.00,61000,188.00
2015-06-11,187.50,187.75,186.50,186.50,333500,186.50
2015-06-10,187.00,189.00,187.00,187.25,2000900,187.25
2015-06-09,187.00,190.00,187.00,189.75,1905800,189.75
2015-06-08,182.50,188.00,182.50,187.00,1231700,187.00
2015-06-05,183.00,184.50,182.50,182.50,140300,182.50
2015-06-04,184.50,184.50,183.00,183.50,847000,183.50
2015-06-03,183.00,186.00,183.00,184.00,1386300,184.00
2015-06-02,183.50,184.50,182.50,184.50,58400,184.50
2015-06-01,183.00,183.00,182.00,183.00,338000,183.00
2015-05-29,183.50,183.50,182.50,182.50,1820000,182.50
2015-05-28,182.00,183.00,182.00,182.50,4572300,182.50
2015-05-27,181.00,181.00,179.50,181.00,2114600,181.00
2015-05-26,179.00,180.00,179.00,179.00,1013500,179.00
2015-05-25,178.00,178.00,178.00,178.00,000,178.00
2015-05-22,178.50,178.50,178.00,178.00,640400,178.00
2015-05-21,179.25,179.25,179.00,179.00,314600,179.00
2015-05-20,179.50,179.50,179.50,179.50,000,179.50
2015-05-19,180.00,180.00,178.50,179.50,955200,179.50
2015-05-18,180.00,180.00,179.50,179.50,657000,179.50
2015-05-15,179.00,181.00,179.00,181.00,1239500,181.00
2015-05-14,181.00,181.00,181.00,181.00,000,181.00
2015-05-13,182.00,182.00,180.00,181.00,574000,181.00
2015-05-12,181.50,182.50,181.00,182.00,1407300,182.00
2015-05-11,178.00,179.00,176.50,179.00,15538500,179.00
2015-05-08,176.50,177.50,176.50,177.50,615100,177.50
2015-05-07,178.00,178.00,176.50,176.50,976600,176.50
2015-05-06,179.50,179.50,176.00,176.00,3956300,176.00
2015-05-05,177.00,179.00,177.00,178.50,1506900,178.50
2015-05-04,177.50,177.50,175.00,177.00,881700,177.00
2015-05-01,175.00,175.00,175.00,175.00,000,175.00
2015-04-30,175.50,177.00,174.00,175.00,3449000,175.00
2015-04-29,169.00,171.50,169.00,171.00,1176800,171.00
2015-04-28,171.00,171.50,169.50,171.00,309700,171.00
2015-04-27,172.00,172.00,169.50,169.50,316300,169.50
2015-04-24,170.00,172.00,170.00,171.00,1580000,171.00
2015-04-23,167.50,167.50,167.50,167.50,000,167.50
2015-04-22,167.50,168.00,166.50,167.50,12106400,167.50
