Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,41.05,41.15,41.05,41.05,30100,41.05
2015-11-30,41.85,41.85,40.95,41.30,8480000,41.30
2015-11-27,42.50,42.50,42.20,42.20,49500,42.20
2015-11-26,42.25,42.25,42.25,42.25,000,42.25
2015-11-25,41.95,42.25,41.95,42.25,57800,42.25
2015-11-24,42.10,42.10,42.10,42.10,5600,42.10
2015-11-23,42.50,42.60,42.10,42.10,1981200,42.10
2015-11-20,42.20,42.20,42.00,42.00,55000,42.00
2015-11-19,42.20,42.20,42.00,42.00,1073000,42.00
2015-11-18,42.00,42.00,42.00,42.00,65600,42.00
2015-11-17,42.60,42.60,42.30,42.30,2091600,42.30
2015-11-16,43.10,43.10,43.10,43.10,000,43.10
2015-11-13,42.70,43.10,42.70,43.10,2052700,43.10
2015-11-12,42.80,42.80,42.70,42.70,2007000,42.70
2015-11-11,43.60,43.60,43.00,43.00,2395100,43.00
2015-11-10,43.60,43.60,43.60,43.60,430000,43.60
2015-11-09,43.50,43.50,43.30,43.30,1027700,43.30
2015-11-06,43.20,43.70,43.20,43.70,3847800,43.70
2015-11-05,43.40,43.60,43.20,43.20,21734800,43.20
2015-11-04,43.10,43.30,42.85,43.30,6502700,43.30
2015-11-03,43.35,43.65,43.30,43.30,1521000,43.30
2015-11-02,43.35,43.50,43.35,43.35,80100,43.35
2015-10-30,44.65,44.65,43.55,43.95,11412300,43.95
2015-10-29,44.40,45.45,44.40,45.40,10819400,45.40
2015-10-28,43.80,44.00,43.80,44.00,65300,44.00
2015-10-27,44.10,44.10,43.80,43.80,1005600,43.80
2015-10-26,43.85,44.40,43.75,43.80,4663400,43.80
2015-10-23,43.575,43.575,43.30,43.30,1023800,43.30
2015-10-22,43.25,43.80,43.25,43.30,169500,43.30
2015-10-21,43.80,43.80,43.60,43.60,4298000,43.60
2015-10-20,43.45,43.80,43.45,43.70,620700,43.70
2015-10-19,43.70,43.80,43.70,43.70,4963800,43.70
2015-10-16,43.80,43.80,43.80,43.80,1000000,43.80
2015-10-15,43.30,43.85,43.30,43.85,11900,43.85
2015-10-14,43.25,43.80,43.25,43.35,6705500,43.35
2015-10-13,43.80,43.80,43.50,43.65,1778800,43.65
2015-10-12,43.35,43.75,43.35,43.75,4517000,43.75
2015-10-09,43.30,43.90,43.30,43.30,248600,43.30
2015-10-08,43.65,43.75,43.50,43.50,2858600,43.50
2015-10-07,44.00,44.10,43.65,43.65,11695600,43.65
2015-10-06,43.90,44.35,43.85,44.00,2668600,44.00
2015-10-05,43.85,44.35,43.85,43.90,2009900,43.90
2015-10-02,43.50,44.15,43.50,43.85,9795500,43.85
2015-10-01,43.20,43.20,43.20,43.20,9911500,43.20
2015-09-30,43.10,43.30,42.80,43.30,10065900,43.30
2015-09-29,44.05,44.05,43.30,43.30,9596800,43.30
2015-09-28,42.90,43.95,42.90,43.95,5935600,43.95
2015-09-25,42.825,43.30,42.825,42.90,2567600,42.90
2015-09-24,42.50,43.10,42.50,42.50,3509900,42.50
2015-09-23,42.20,42.80,42.20,42.80,2002600,42.80
2015-09-22,42.25,42.25,42.25,42.25,522000,42.25
2015-09-21,42.20,42.20,42.20,42.20,32900,42.20
2015-09-18,42.45,42.45,42.25,42.25,1005600,42.25
2015-09-17,42.70,42.70,42.70,42.70,136900,42.70
2015-09-16,42.20,42.75,42.20,42.70,1749600,42.70
2015-09-15,42.50,42.50,42.15,42.15,1150600,42.15
2015-09-14,42.70,42.70,42.70,42.70,000,42.70
2015-09-11,42.70,42.70,42.70,42.70,000,42.70
2015-09-10,42.15,42.70,42.15,42.70,470400,42.70
2015-09-09,42.85,42.85,42.60,42.60,3800000,42.60
2015-09-08,42.50,42.95,42.50,42.60,8113500,42.60
2015-09-07,41.80,42.35,41.75,42.20,9874900,42.20
2015-09-04,41.80,41.80,41.80,41.80,2002800,41.80
2015-09-03,41.475,41.475,41.475,41.475,60000,41.475
2015-09-02,41.50,41.50,41.50,41.50,500000,41.50
2015-09-01,41.70,41.70,41.30,41.40,3062800,41.40
2015-08-31,42.10,42.10,41.60,41.60,2348900,41.60
2015-08-28,41.85,41.85,41.65,41.75,3406900,41.75
2015-08-27,41.75,41.85,41.50,41.85,1487600,41.85
2015-08-26,41.70,41.70,41.50,41.50,2313000,41.50
2015-08-25,42.20,42.60,41.70,41.70,1911800,41.70
2015-08-24,43.25,43.25,42.00,42.30,9014000,42.30
2015-08-21,43.90,43.90,43.40,43.40,175300,43.40
2015-08-20,43.70,43.90,43.50,43.80,12586800,43.80
2015-08-19,42.80,42.90,42.80,42.90,2010300,42.90
2015-08-18,42.80,42.80,42.80,42.80,155900,42.80
2015-08-17,42.40,42.80,42.30,42.80,2097100,42.80
2015-08-14,42.20,42.40,42.10,42.40,5873500,42.40
2015-08-13,42.00,42.20,42.00,42.00,6394800,42.00
2015-08-12,42.50,42.50,41.90,42.10,2120700,42.10
2015-08-11,41.90,42.00,41.90,41.95,371300,41.95
2015-08-10,42.20,42.20,41.95,41.95,511200,41.95
2015-08-07,42.00,42.10,42.00,42.10,511300,42.10
2015-08-06,42.20,42.20,42.20,42.20,78300,42.20
2015-08-05,41.75,42.10,41.70,42.10,3543100,42.10
2015-08-04,41.90,41.90,41.60,41.70,9500,41.70
2015-08-03,41.90,41.90,41.90,41.90,000,41.90
2015-07-31,41.50,41.90,41.50,41.90,8375500,41.90
2015-07-30,41.50,41.90,41.50,41.90,118000,41.90
2015-07-29,41.00,41.80,41.00,41.50,9917100,41.50
2015-07-28,39.05,40.50,39.05,40.20,8400400,40.20
2015-07-27,39.25,39.55,39.25,39.55,1465300,39.55
2015-07-24,39.05,39.05,39.05,39.05,50000,39.05
2015-07-23,39.05,39.05,39.05,39.05,13200,39.05
2015-07-22,39.45,39.45,39.45,39.45,000,39.45
2015-07-21,38.90,39.45,38.90,39.45,317200,39.45
2015-07-20,38.95,38.95,38.95,38.95,16000,38.95
2015-07-17,39.30,39.30,39.30,39.30,4000,39.30
2015-07-16,39.00,39.00,39.00,39.00,236200,39.00
2015-07-15,39.10,39.45,39.10,39.45,239700,39.45
2015-07-14,39.15,39.40,39.00,39.40,1518400,39.40
