Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,14.75,14.75,14.75,14.75,000,14.75
2015-11-30,14.60,14.75,14.60,14.75,80000,14.75
2015-11-27,15.00,15.00,15.00,15.00,000,15.00
2015-11-26,15.00,15.00,15.00,15.00,000,15.00
2015-11-25,14.34,15.00,14.34,15.00,215000,15.00
2015-11-24,14.30,14.30,14.30,14.30,7800,14.30
2015-11-23,14.35,15.00,14.35,15.00,11817000,15.00
2015-11-20,14.40,14.40,14.40,14.40,1000000,14.40
2015-11-19,14.50,14.50,14.50,14.50,000,14.50
2015-11-18,14.45,14.50,14.45,14.50,38200,14.50
2015-11-17,15.10,15.10,15.10,15.10,000,15.10
2015-11-16,15.10,15.10,15.10,15.10,000,15.10
2015-11-13,15.05,15.10,15.05,15.10,162000,15.10
2015-11-12,15.00,15.00,15.00,15.00,000,15.00
2015-11-11,15.00,15.00,15.00,15.00,151400,15.00
2015-11-10,15.00,15.00,15.00,15.00,5000,15.00
2015-11-09,14.80,14.80,14.80,14.80,000,14.80
2015-11-06,14.80,14.80,14.80,14.80,50000,14.80
2015-11-05,14.96,14.96,14.96,14.96,32000,14.96
2015-11-04,14.70,14.70,14.70,14.70,16500,14.70
2015-11-03,14.60,14.60,14.60,14.60,000,14.60
2015-11-02,14.60,14.60,14.60,14.60,000,14.60
2015-10-30,14.30,14.60,14.30,14.60,1110900,14.60
2015-10-29,13.80,14.30,13.80,14.30,3152500,14.30
2015-10-28,13.375,13.375,13.375,13.375,250000,13.375
2015-10-27,13.375,13.375,13.375,13.375,3300000,13.375
2015-10-26,13.07,13.07,13.07,13.07,9900,13.07
2015-10-23,13.375,13.375,13.375,13.375,000,13.375
2015-10-22,13.375,13.375,13.375,13.375,000,13.375
2015-10-21,13.375,13.375,13.375,13.375,000,13.375
2015-10-20,13.375,13.375,13.375,13.375,3000000,13.375
2015-10-19,13.70,13.70,13.70,13.70,000,13.70
2015-10-16,13.70,13.70,13.70,13.70,119000,13.70
2015-10-15,13.85,13.85,13.32,13.32,694500,13.32
2015-10-14,13.59,13.59,13.59,13.59,000,13.59
2015-10-13,13.38,13.59,13.38,13.59,400000,13.59
2015-10-12,13.00,13.00,13.00,13.00,1000000,13.00
2015-10-09,12.90,12.90,12.90,12.90,8000,12.90
2015-10-08,12.71,12.71,12.65,12.65,3150000,12.65
2015-10-07,12.71,12.71,12.71,12.71,50000,12.71
2015-10-06,13.33,13.33,12.71,12.71,52500,12.71
2015-10-05,13.33,13.33,12.72,12.72,65100,12.72
2015-10-02,13.33,13.33,13.33,13.33,000,13.33
2015-10-01,13.33,13.33,13.33,13.33,000,13.33
2015-09-30,13.33,13.33,13.33,13.33,000,13.33
2015-09-29,13.33,13.33,13.33,13.33,000,13.33
2015-09-28,13.33,13.33,13.33,13.33,000,13.33
2015-09-25,13.33,13.33,13.33,13.33,10000,13.33
2015-09-24,12.72,12.72,12.72,12.72,000,12.72
2015-09-23,12.72,12.72,12.72,12.72,150000,12.72
2015-09-22,13.26,13.26,13.26,13.26,000,13.26
2015-09-21,13.26,13.26,13.26,13.26,000,13.26
2015-09-18,13.26,13.26,13.26,13.26,000,13.26
2015-09-17,13.26,13.26,13.26,13.26,000,13.26
2015-09-16,13.26,13.26,13.26,13.26,5500,13.26
2015-09-15,13.05,13.05,13.05,13.05,000,13.05
2015-09-14,13.05,13.05,13.05,13.05,000,13.05
2015-09-11,13.05,13.05,13.05,13.05,132800,13.05
2015-09-10,12.74,12.74,12.74,12.74,000,12.74
2015-09-09,12.74,12.74,12.74,12.74,000,12.74
2015-09-08,12.74,12.74,12.74,12.74,000,12.74
2015-09-07,13.05,13.05,12.74,12.74,5022900,12.74
2015-09-04,13.05,13.05,13.05,13.05,57600,13.05
2015-09-03,13.05,13.05,13.05,13.05,000,13.05
2015-09-02,13.05,13.05,13.05,13.05,000,13.05
2015-09-01,13.05,13.05,13.05,13.05,000,13.05
2015-08-31,13.05,13.05,13.05,13.05,000,13.05
2015-08-28,12.98,13.05,12.91,13.05,16034400,13.05
2015-08-27,12.30,12.91,12.30,12.91,434200,12.91
2015-08-26,12.00,12.00,12.00,12.00,66800,12.00
2015-08-25,12.30,12.30,12.30,12.30,000,12.30
2015-08-24,12.90,12.90,12.30,12.30,238900,12.30
2015-08-21,12.90,12.91,12.90,12.91,153800,12.91
2015-08-20,12.33,12.70,12.33,12.70,10700,12.70
2015-08-19,12.70,12.70,12.70,12.70,13000,12.70
2015-08-18,12.70,12.70,12.70,12.70,6500,12.70
2015-08-17,12.70,12.70,12.70,12.70,77500,12.70
2015-08-14,12.35,12.35,12.35,12.35,200000,12.35
2015-08-13,12.35,12.35,12.35,12.35,28600,12.35
2015-08-12,11.85,11.85,11.85,11.85,000,11.85
2015-08-11,11.85,11.85,11.85,11.85,000,11.85
2015-08-10,11.85,11.85,11.85,11.85,000,11.85
2015-08-07,11.85,11.85,11.85,11.85,85100,11.85
2015-08-06,12.00,12.00,12.00,12.00,11000,12.00
2015-08-05,12.00,12.00,12.00,12.00,83500,12.00
2015-08-04,11.91,11.91,11.91,11.91,000,11.91
2015-08-03,11.91,11.91,11.91,11.91,000,11.91
2015-07-31,11.91,11.91,11.91,11.91,50000,11.91
2015-07-30,12.10,12.10,12.00,12.00,117700,12.00
2015-07-29,12.08,12.08,12.08,12.08,000,12.08
2015-07-28,12.08,12.08,12.08,12.08,000,12.08
2015-07-27,12.08,12.08,12.08,12.08,000,12.08
2015-07-24,12.08,12.08,12.08,12.08,51000,12.08
2015-07-23,12.49,12.49,12.49,12.49,000,12.49
2015-07-22,12.49,12.49,12.49,12.49,000,12.49
2015-07-21,12.49,12.49,12.49,12.49,000,12.49
2015-07-20,12.49,12.49,12.49,12.49,000,12.49
2015-07-17,12.49,12.49,12.49,12.49,000,12.49
2015-07-16,12.49,12.49,12.49,12.49,15000,12.49
2015-07-15,12.49,12.49,12.49,12.49,000,12.49
2015-07-14,12.49,12.49,12.49,12.49,000,12.49
2015-07-13,12.49,12.49,12.49,12.49,000,12.49
2015-07-10,12.49,12.49,12.25,12.49,116800,12.49
2015-07-09,12.25,12.25,12.25,12.25,54300,12.25
2015-07-08,12.23,12.23,12.23,12.23,24500,12.23
2015-07-07,12.23,12.23,12.11,12.11,255800,12.11
2015-07-06,12.20,12.20,12.20,12.20,66000,12.20
2015-07-03,11.70,11.95,11.70,11.95,208000,11.95
2015-07-02,11.13,11.55,11.13,11.55,400000,11.55
2015-07-01,10.80,10.80,10.80,10.80,200000,10.80
2015-06-30,10.60,10.60,10.60,10.60,550000,10.60
2015-06-29,10.60,10.60,10.60,10.60,38300,10.60
2015-06-26,10.25,10.25,10.25,10.25,1200000,10.25
2015-06-25,10.21,10.21,10.21,10.21,000,10.21
2015-06-24,10.21,10.21,10.21,10.21,000,10.21
