Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,447.50,447.50,447.50,447.50,200000,447.50
2015-11-30,445.00,445.00,445.00,445.00,200000,445.00
2015-11-27,440.00,440.00,440.00,440.00,600,440.00
2015-11-26,440.00,440.00,440.00,440.00,000,440.00
2015-11-25,485.00,485.00,440.00,440.00,5200,440.00
2015-11-24,445.00,445.00,440.00,440.00,32800,440.00
2015-11-23,445.00,445.00,445.00,445.00,000,445.00
2015-11-20,445.00,445.00,445.00,445.00,500,445.00
2015-11-19,445.00,445.00,445.00,445.00,000,445.00
2015-11-18,445.00,445.00,445.00,445.00,1000,445.00
2015-11-17,445.00,445.00,445.00,445.00,000,445.00
2015-11-16,445.00,445.00,445.00,445.00,3500,445.00
2015-11-13,445.00,445.00,445.00,445.00,1300,445.00
2015-11-12,445.00,445.00,445.00,445.00,000,445.00
2015-11-11,445.00,445.00,445.00,445.00,24200,445.00
2015-11-10,446.00,446.00,446.00,446.00,000,446.00
2015-11-09,446.00,446.00,446.00,446.00,000,446.00
2015-11-06,446.00,446.00,446.00,446.00,000,446.00
2015-11-05,451.00,451.00,446.00,446.00,6700,446.00
2015-11-04,451.00,451.00,445.00,445.00,1200,445.00
2015-11-03,454.00,454.00,451.00,451.00,6000,451.00
2015-11-02,485.00,485.00,485.00,485.00,600,485.00
2015-10-30,450.50,460.00,450.50,460.00,10300,460.00
2015-10-29,464.50,465.00,450.00,450.00,39500,450.00
2015-10-28,464.00,470.00,450.00,452.00,59800,452.00
2015-10-27,455.00,463.00,455.00,463.00,502800,463.00
2015-10-26,475.00,475.00,455.00,455.00,19000,455.00
2015-10-23,460.00,460.00,451.00,455.00,32200,455.00
2015-10-22,465.50,465.50,460.00,460.00,13100,460.00
2015-10-21,460.00,460.00,460.00,460.00,7400,460.00
2015-10-20,475.00,475.00,475.00,475.00,000,475.00
2015-10-19,475.00,475.00,475.00,475.00,000,475.00
2015-10-16,475.00,475.00,475.00,475.00,4200,475.00
2015-10-15,451.00,451.00,451.00,451.00,2600,451.00
2015-10-14,452.00,452.00,452.00,452.00,000,452.00
2015-10-13,455.00,455.00,452.00,452.00,700,452.00
2015-10-12,450.00,464.00,450.00,464.00,72000,464.00
2015-10-09,445.00,451.50,445.00,451.50,6200,451.50
2015-10-08,450.00,450.00,445.00,445.00,18800,445.00
2015-10-07,444.00,445.00,444.00,445.00,2200,445.00
2015-10-06,447.00,447.00,445.00,445.00,6500,445.00
2015-10-05,445.00,445.00,445.00,445.00,000,445.00
2015-10-02,450.00,450.00,446.00,446.00,15900,446.00
2015-10-01,446.00,446.00,445.00,445.00,5200,445.00
2015-09-30,459.00,459.00,447.00,450.00,23800,450.00
2015-09-29,465.00,465.00,458.00,458.00,60300,458.00
2015-09-28,460.50,470.00,460.50,460.50,19900,460.50
2015-09-25,470.00,470.00,460.00,460.00,8400,460.00
2015-09-24,453.50,461.00,453.50,461.00,3600,461.00
2015-09-23,454.00,454.00,454.00,454.00,8000,454.00
2015-09-22,475.00,479.00,475.00,479.00,1000,479.00
2015-09-21,466.00,466.00,466.00,466.00,000,466.00
2015-09-18,456.00,466.00,456.00,466.00,20000,466.00
2015-09-17,470.00,470.00,451.00,465.00,10500,465.00
2015-09-16,469.00,469.00,469.00,469.00,3100,469.00
2015-09-15,470.00,490.00,470.00,490.00,40100,490.00
2015-09-14,470.00,470.00,470.00,470.00,3000,470.00
2015-09-11,480.00,480.00,480.00,480.00,10200,480.00
2015-09-10,490.00,490.00,480.00,480.00,10400,480.00
2015-09-09,470.00,495.00,470.00,490.00,53000,490.00
2015-09-08,470.00,482.00,470.00,482.00,367100,482.00
2015-09-07,469.00,469.00,469.00,469.00,000,469.00
2015-09-04,468.00,469.00,468.00,469.00,59400,469.00
2015-09-03,480.00,480.00,468.00,470.00,60600,470.00
2015-09-02,475.00,485.00,475.00,485.00,1012000,485.00
2015-09-01,455.00,483.00,455.00,483.00,2400,483.00
